filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,centroid_to_gauss_dist
range233_exp20_35.dng,central,603.22696345298,384.091213577667,4.09671156910782,4.14227117991008,9.70065004611394,602.581997164049,383.203888525305,1.09696274431084
range233_exp20_36.dng,central,603.195279132058,384.109148003599,4.10729581543629,4.18933210385009,9.76852197164865,602.540204856871,383.221116537783,1.103504503974
range233_exp20_37.dng,central,603.180363816195,384.075787189657,4.09266178567137,4.11338164255514,9.66186700292914,602.585948419128,383.192465215245,1.06470060333887
range233_exp20_38.dng,central,603.184104121759,384.112152075788,4.13348932529408,4.17647127242878,9.78421998336072,602.607650992147,383.24418478482,1.04195269990029
range233_exp20_39.dng,central,603.198894324072,384.147862857744,4.06462635683386,4.16163363025245,9.68567015540678,602.582917287885,383.206465688219,1.12501392875824
range233_exp20_4.dng,central,603.217595717676,384.117302765088,4.08282806730165,4.20577967897339,9.7590789500934,602.696198102139,383.190774170972,1.06316071654392
range233_exp20_40.dng,central,603.236781487026,384.136500231292,4.10455492301962,4.15634729302911,9.72645821750362,602.580007666988,383.162341868366,1.17487717091857
range233_exp20_41.dng,central,603.202706455413,384.088233685158,4.08992582007287,4.14975535233567,9.70147237589698,602.538093284092,383.174688825058,1.12972336388495
range233_exp20_42.dng,central,603.239997510922,384.093349606754,4.07411865080055,4.11628642183467,9.64345426685369,602.592875387954,383.160626493449,1.1352266065093
range233_exp20_43.dng,central,603.190440474036,384.15711933939,4.13006447009666,4.09692911851677,9.68653390423412,602.553947760992,383.213322845751,1.13836496571273
range233_exp20_44.dng,central,603.210810009759,384.107226294218,4.12462342997474,4.1684020100288,9.76428038116524,602.578701298701,383.13978127136,1.15564323856743
range233_exp20_45.dng,central,603.22441652659,384.096930722958,4.08505355491932,4.13732637721929,9.68110174491802,602.609193339041,383.188223191848,1.09738277168669
range233_exp20_46.dng,central,603.257291601587,384.110332885642,4.08521029763655,4.19183065647737,9.74546010826191,602.561584881907,383.248946331317,1.10724642053083
range233_exp20_47.dng,central,603.208259971286,384.138590388812,4.10499224160797,4.15338169129863,9.72348139491201,602.618266289882,383.192953766362,1.11459461949883
range233_exp20_48.dng,central,603.251627625979,384.034156422538,4.13133173589598,4.1553874620778,9.75685535687518,602.578745138151,383.167207246006,1.09743870768077
range233_exp20_49.dng,central,603.219103420579,384.060119553362,4.10736545588373,4.19966709624327,9.78077247697434,602.519359474441,383.189283514679,1.11713785918612
range233_exp20_5.dng,central,603.213269006639,384.099295087737,4.1068628878617,4.17774212491676,9.75436609681272,602.568298863729,383.126052480994,1.16755627565628
range233_exp20_50.dng,central,603.244365908522,384.14329424253,4.07934055308404,4.16121791353894,9.70250530974587,602.652626690977,383.193937407385,1.11867497603974
range233_exp20_51.dng,central,603.227255859336,384.098634675247,4.11606996870097,4.13798786140432,9.71839957788264,602.562541815153,383.24714291566,1.08022357740358
range233_exp20_52.dng,central,603.197736551676,384.120609620031,4.10949741771358,4.15438795084845,9.72997060725455,602.57183692915,383.17604301368,1.13311800414248
range233_exp20_53.dng,central,603.197967330748,384.079304506809,4.06698916284237,4.1587087129996,9.68500832073198,602.547380355241,383.166915175044,1.12058810694124
range233_exp20_54.dng,central,603.193044079985,384.098869395035,4.11561765650598,4.18714350138195,9.77574330019556,602.526876576201,383.157309130176,1.1533927672134
range233_exp20_55.dng,central,603.221381290005,384.074751372695,4.08472526347977,4.18935602839841,9.74197537616838,602.624606482279,383.165039782317,1.0879868330108
range233_exp20_56.dng,central,603.141583626644,384.146828557245,4.11436762194555,4.15762722437477,9.73951877699666,602.607255284065,383.19003556779,1.09588302402772
range233_exp20_57.dng,central,603.237547009204,384.10601075737,4.11633283667955,4.13605539954032,9.71643378350061,602.603926001489,383.196293181881,1.1086305284321
range233_exp20_58.dng,central,603.205040108475,384.124238251371,4.1261535902473,4.17624169728839,9.77531252125628,602.625409659915,383.22358700908,1.0710481395057
range233_exp20_59.dng,central,603.188260622484,384.121172239992,4.12463377288676,4.16855501085012,9.76447270349952,602.571786113118,383.213794915588,1.09698424306784
range233_exp20_6.dng,central,603.197500099467,384.141542773526,4.10467667611873,4.12135150065247,9.68539721992281,602.568711384195,383.253415258577,1.08818460348576
range233_exp20_60.dng,central,603.196595087353,384.0736627718,4.11926006184676,4.17169053559126,9.76183744345775,602.538061215489,383.20253628351,1.09202940390451
range233_exp20_7.dng,central,603.190770306377,384.131646603462,4.09808315307949,4.16668317911755,9.73100786151117,602.524640725774,383.248367543554,1.10630489279639
range233_exp20_8.dng,central,603.189402479987,384.046947433461,4.11811466916085,4.18193720244324,9.77255336292843,602.493770606994,383.22929165991,1.07352907121515
range233_exp20_9.dng,central,603.236595910567,384.09662220402,4.05667457422361,4.13957936784294,9.65034077666285,602.565103631557,383.199804106906,1.12035020421355
range233_exp20_1.dng,central,603.222671622725,384.088045782962,4.12178138359329,4.20424462819395,9.80313554180185,602.755208616081,383.466646290751,0.777598219841951
range233_exp20_10.dng,central,603.205931198118,384.133120262318,4.07371599747687,4.14286814049463,9.6742777263872,602.74469899158,383.456923661067,0.818521222627506
range233_exp20_11.dng,central,603.1961811703,384.121198824072,4.06984036661867,4.15835248867526,9.68794593126875,602.754738022087,383.491386555232,0.769113481279063
range233_exp20_12.dng,central,603.151406159597,384.137150662979,4.09621108944912,4.17320969866957,9.73648805845129,602.740043763916,383.528650473908,0.734500851381435
range233_exp20_13.dng,central,603.202070763563,384.082678406087,4.11249637032044,4.18651504158497,9.77132831661732,602.821066480268,383.474972161594,0.717266438281927
range233_exp20_14.dng,central,603.115913187485,384.147539331095,4.1423486117391,4.14597317414496,9.75874225783848,602.682322483005,383.542722186167,0.744180541139317
